 0.1432	 0.1550	 0.1409	 0.1773	 0.6815	 0.5218	 0.0961	 0.2802	 0.1447	
 0.0279	 0.1700	 0.0294	 0.0196	 0.0152	 0.0079	 0.0055	 0.0122	 0.0071	
 0.0067	 0.0024	 0.0000	 0.0090	 0.0846	 0.0004	 0.0028	 0.0014	 0.0020	
 0.0424	 0.0168	 0.0038	 0.0246	 0.0068	 0.0056	 0.0259	 0.1692	 0.0137	
 0.0079	 0.0051	 0.0030	 0.0267	 0.0000	 0.0010	 0.0000	 0.0000	 0.0000	
 0.0016	 0.0148	 0.0070	 0.0001	 0.0678	 0.0000	 0.0001	 0.0004	 0.0000	
 0.0089	 0.0079	 0.0018	 0.0110	 0.0467	 0.0027	 0.0002	 0.0003	 0.0045	
 0.0567	 0.0080	 0.1985	 0.0210	 0.0138	 0.0002	 0.0162	 0.0004	 0.0349	
 0.0008	 0.0009	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	
 0.0060	 0.1644	 0.0214	 0.0245	 0.0270	 0.0181	 0.0048	 0.0784	 0.0128	
 0.0000	 0.0094	 0.0000	 0.0000	 0.0000	 0.0016	 0.0001	 0.0000	 0.0004	
 0.0004	 0.0000	 0.0000	 0.0000	 0.0027	 0.0000	 0.0202	 0.0000	 0.0002	
 0.0026	 0.0154	 0.0000	 0.0013	 0.0006	 0.0000	 0.0012	 0.0546	 0.0018	
 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	
 0.0500	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0230	 0.0002	
 0.2015	 0.0159	 0.0526	 0.0044	 0.0109	 0.0300	 0.0117	 0.0002	 0.0009	
 0.0145	 0.1192	 0.0111	 0.2605	 0.0357	 0.0065	 0.0017	 0.0243	 0.0485	
 0.0000	 0.0046	 0.0000	 0.0001	 0.0686	 0.0009	 0.0001	 0.0000	 0.0003	
 0.0001	 0.0000	 0.0038	 0.0003	 0.0006	 0.0000	 0.0000	 0.0021	 0.0733	
 0.0003	 0.0023	 0.0007	 0.0000	 0.1438	 0.0000	 0.0002	 0.0000	 0.0001	
 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	
 0.0104	 0.0006	 0.0002	 0.0000	 0.0033	 0.0001	 0.0000	 0.0002	 0.0000	
 0.0003	 0.0021	 0.0005	 0.0000	 0.0412	 0.0002	 0.0046	 0.0000	 0.0089	
 0.0017	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	
 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0004	
-0.0419	 0.0000	 0.0068	 0.0235	 0.0011	 0.0004	 0.0000	 0.0000	 0.0005	
 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	
 0.0499	 0.1958	 0.0046	 0.0266	 0.0070	 0.0026	 0.0031	 0.0042	 0.0226	
 0.0000	 0.0026	 0.0000	 0.0015	 0.0000	 0.0000	 0.0000	 0.0001	 0.0000	
 0.0002	 0.0000	 0.0000	 0.0070	 0.1094	 0.0003	 0.0006	 0.0000	 0.0000	
 0.0000	 0.0236	 0.0000	 0.0011	 0.0000	 0.0000	 0.0009	 0.0000	 0.0000	
 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	
 0.0000	 0.0004	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	
 0.0252	 0.0144	 0.0046	 0.0757	 0.0468	 0.2228	 0.0092	 0.0000	 0.0001	
 0.0010	 0.0037	 0.0023	 0.0008	 0.0136	 0.0328	 0.0820	 0.0024	 0.0068	
 0.0000	 0.0000	 0.0000	 0.0000	 0.0248	 0.0000	 0.0068	 0.0000	 0.0000	
 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	
 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	
 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	
 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	
 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	
 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0002	 0.0000	 0.0000	 0.0000	
 0.0000	 0.0004	 0.0003	 0.0001	 0.0000	 0.0000	 0.0123	 0.0000	 0.0002	
 0.0001	 0.0000	 0.0000	 0.0069	 0.0009	 0.0109	 0.0024	 0.0000	 0.0001	
 0.0000	 0.0000	-0.1380	 0.0000	 0.0021	 0.0000	 0.0000	 0.0000	 0.0000	
 0.0004	 0.0000	 0.0000	 0.0000	 0.0163	 0.0002	 0.0026	 0.0000	 0.0000	
 0.0000	 0.0059	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	
 0.0000	-0.0500	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	
 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	
 0.0000	 0.0000	 0.0001	 0.0000	 0.0003	 0.0000	 0.0000	 0.0000	 0.0047	
